1stFlrSF,GarageArea,GrLivArea,KitchenQual,YearBuilt,YearRemodAdd
1828,774,1828,Gd,2007,2007
894,308,894,TA,1962,1962
964,432,964,TA,1921,2006
1689,857,1689,Gd,2002,2002
1541,843,1541,Gd,2001,2002
1221,400,1221,Gd,2004,2005
1324,440,1324,TA,1965,1965
696,484,1416,Gd,1999,1999
526,297,988,TA,1973,1973
869,440,1218,TA,1941,1950
760,397,1656,Gd,2003,2004
1362,460,1362,Gd,2005,2006
1051,442,1839,TA,1966,1966
1375,451,1375,TA,1954,1954
1122,528,1122,Gd,1948,2005
1432,588,1432,Gd,1978,1978
728,400,1456,Gd,2007,2007
1217,497,1217,Gd,1990,1991
1040,625,1040,TA,1950,1950
612,528,1224,Gd,2009,2009
1022,468,1774,TA,1931,1950
961,384,1367,TA,1900,1950
803,297,1360,Gd,1938,1995
848,420,848,Gd,2004,2004
1482,749,2262,Gd,2003,2003
1220,396,1220,TA,1951,1951
1414,398,1414,Gd,2004,2004
1134,396,2058,TA,1917,1950
1088,0,1198,TA,1920,1998
1659,499,1659,Ex,2000,2000
1012,308,1012,TA,1920,1950
1687,672,3082,TA,1920,1970
1032,672,1812,Gd,1900,1996
1057,650,1929,Gd,2001,2001
954,576,954,TA,1976,1976
1838,765,1838,Ex,2006,2006
1640,924,1640,Gd,1954,2006
1148,672,1148,TA,1959,1959
950,280,950,TA,1971,1971
1065,471,1911,Gd,1993,1994
915,440,1635,TA,1923,1950
1316,440,1316,Gd,2007,2007
1442,615,1442,TA,1970,1970
1078,500,1078,TA,1971,2008
1120,544,1120,Fa,1961,1961
779,527,1419,Gd,2002,2002
707,240,1389,TA,1946,1992
1063,280,1063,TA,1954,1954
1792,874,1792,Ex,2003,2004
1216,402,1216,TA,1998,1998
998,576,1762,Gd,1920,1950
847,434,1959,Gd,2004,2005
1208,546,1208,TA,1977,1977
874,315,1524,TA,1958,1958
796,240,1154,Gd,1922,2007
1048,420,1048,TA,1950,1950
886,273,886,TA,1938,1996
943,600,943,TA,1979,1979
866,603,1768,Gd,2005,2005
1422,779,2599,Gd,1999,1999
912,275,912,TA,1958,1958
882,308,882,TA,1956,1956
1337,511,1337,Gd,1998,1999
2076,850,2076,Ex,2006,2006
1328,752,2531,Gd,1995,1995
981,240,1768,Gd,1937,1950
1625,538,1625,Gd,2006,2007
1444,389,2144,Gd,1958,2006
1521,880,2775,Gd,1893,2000
1140,477,1868,TA,1984,2003
1525,541,1525,Gd,2000,2000
1571,722,1571,Gd,2007,2007
796,0,796,TA,1910,1950
1378,432,2372,TA,1892,1965
802,402,1472,Gd,1991,1992
960,364,960,TA,1965,2001
734,372,1838,TA,2005,2005
1309,484,1309,Gd,1974,1999
2069,694,2643,Ex,2006,2006
676,200,1131,TA,1941,1950
960,400,1960,TA,1952,1952
1144,336,1144,TA,1963,1963
1056,576,1056,TA,1980,1980
693,0,693,Fa,1941,1950
1494,576,1494,Gd,1997,1997
1646,482,1646,Gd,2004,2005
864,352,864,TA,1972,1972
1566,750,1566,Gd,2008,2008
735,497,1395,TA,1972,1972
848,539,1208,TA,1925,1950
939,180,1513,TA,1920,2004
959,560,1367,TA,1931,1950
955,386,955,TA,1966,1966
1077,210,1077,TA,1922,1950
1056,572,1056,TA,1955,1955
756,615,1553,Gd,2005,2006
1614,865,1614,Gd,2005,2006
2042,1390,2042,Ex,2008,2009
1073,326,1073,TA,1921,1968
1072,240,1285,TA,1948,2001
